"","Day","Weekday","District","DistrictNumber","Mem","Abs","AttendancePercent","AbsentPercent","County","TEA_Description","NCES_Description","MetroStatus","CovidTotalCountyCases","CovidCountyPercentIncrease","CovidTotalStateCases","CovidStatePercentIncrease","PRCP","TMAX","TMIN"
"1",2020-08-12,"Wednesday","CONROE ISD","170902",64469,181,99.72,0.28,"Montgomery","Other Central City","City-Small","Metro",51943,NA,531825,NA,0,102,78
"2",2020-08-13,"Thursday","CONROE ISD","170902",64604,1299,97.99,2.01,"Montgomery","Other Central City","City-Small","Metro",52293,0.673815528560162,538805,1.31246180604523,0,101,77
"3",2020-08-14,"Friday","CONROE ISD","170902",64690,1917,97.04,2.96,"Montgomery","Other Central City","City-Small","Metro",52676,0.73241160384756,547670,1.64530767160662,0,101,76
"4",2020-08-17,"Monday","CONROE ISD","170902",63726,1326,97.92,2.08,"Montgomery","Other Central City","City-Small","Metro",53736,2.01230161743489,569058,3.90527142257198,2,104,70
"5",2020-08-18,"Tuesday","CONROE ISD","170902",63747,1310,97.95,2.05,"Montgomery","Other Central City","City-Small","Metro",54146,0.762989429804972,577220,1.43430019435629,0,93,73
"6",2020-08-19,"Wednesday","CONROE ISD","170902",63814,1043,98.37,1.63,"Montgomery","Other Central City","City-Small","Metro",54592,0.823698888191182,582623,0.93603825231281,0,98,74
"7",2020-08-20,"Thursday","CONROE ISD","170902",63814,930,98.54,1.46,"Montgomery","Other Central City","City-Small","Metro",55110,0.948856975381007,587900,0.905731493607353,0,95,74
"8",2020-08-21,"Friday","CONROE ISD","170902",63814,1140,98.21,1.79,"Montgomery","Other Central City","City-Small","Metro",55620,0.925421883505706,593405,0.936383738731084,0,95,73
"9",2020-08-24,"Monday","CONROE ISD","170902",63939,1245,98.05,1.95,"Montgomery","Other Central City","City-Small","Metro",56648,1.84825602301331,607621,2.39566569206529,0,95,75
"10",2020-08-25,"Tuesday","CONROE ISD","170902",63980,1179,98.16,1.84,"Montgomery","Other Central City","City-Small","Metro",57013,0.644329896907214,613707,1.00161120171949,0,94,76
"11",2020-08-31,"Monday","CONROE ISD","170902",64014,1923,97,3,"Montgomery","Other Central City","City-Small","Metro",59638,4.60421307421115,640317,4.33594532895991,0,99,80
"12",2020-09-01,"Tuesday","CONROE ISD","170902",64059,1759,97.25,2.75,"Montgomery","Other Central City","City-Small","Metro",60312,1.13015191656327,645534,0.814752692806842,0,100,82
"13",2020-09-02,"Wednesday","CONROE ISD","170902",64085,1680,97.38,2.62,"Montgomery","Other Central City","City-Small","Metro",60790,0.792545430428437,649844,0.667664290339465,0,100,83
"14",2020-09-03,"Thursday","CONROE ISD","170902",64118,1859,97.1,2.9,"Montgomery","Other Central City","City-Small","Metro",61346,0.914624115808516,653321,0.535051489280503,0,95,80
"15",2020-09-04,"Friday","CONROE ISD","170902",64145,1988,96.9,3.1,"Montgomery","Other Central City","City-Small","Metro",61983,1.0383725100251,658789,0.836954575162907,0,91,77
"16",2020-09-08,"Tuesday","CONROE ISD","170902",64268,1701,97.35,2.65,"Montgomery","Other Central City","City-Small","Metro",63530,2.49584563509349,670427,1.7665747303006,0,96,75
"17",2020-09-09,"Wednesday","CONROE ISD","170902",64293,1498,97.67,2.33,"Montgomery","Other Central City","City-Small","Metro",63923,0.618605383283488,675149,0.704327242190428,0,90,77
"18",2020-09-10,"Thursday","CONROE ISD","170902",64303,1731,97.31,2.69,"Montgomery","Other Central City","City-Small","Metro",64380,0.714922641302818,677888,0.405688225858292,0.45,92,71
"19",2020-09-11,"Friday","CONROE ISD","170902",64312,1966,96.94,3.06,"Montgomery","Other Central City","City-Small","Metro",65075,1.07952780366574,683295,0.79762438632931,0,88,70
"20",2020-09-14,"Monday","CONROE ISD","170902",64360,2159,96.65,3.35,"Montgomery","Other Central City","City-Small","Metro",66459,2.12677679600461,694547,1.64672652368303,0,93,74
"21",2020-09-15,"Tuesday","CONROE ISD","170902",64381,1916,97.02,2.98,"Montgomery","Other Central City","City-Small","Metro",66905,0.671090446741607,701509,1.00237996852626,0,90,75
"22",2020-09-16,"Wednesday","CONROE ISD","170902",64391,1864,97.11,2.89,"Montgomery","Other Central City","City-Small","Metro",67404,0.745833644720117,706034,0.645038053681413,0,94,75
